faiss_id,title,sentences
0,Ash,Acquisition Ashs main blueprint can be purchased from the Market.
1,Ash,Ashs component blueprints are obtained from Venus Proxima Systems Neptune Proxima Neuroptics and Pluto Proxima Chassis Survival Defense Exterminate and Volatile missions.
2,Ash,Item Source Chance Expected Nearly Guaranteed Neuroptics Blueprint Neptune Proxima Defense A .
3,Ash,A Rotations A Rotations Neuroptics Blueprint Neptune Proxima Survival A .
4,Ash,A Rotations A Rotations Neuroptics Blueprint Neptune Proxima Volatile .
5,Ash,A Rotations A Rotations Neuroptics Blueprint Neptune Proxima Exterminate .
6,Ash,A Rotations A Rotations Chassis Blueprint Pluto Proxima Defense A .
7,Ash,A Rotations A Rotations Chassis Blueprint Pluto Proxima Volatile .
8,Ash,A Rotations A Rotations Chassis Blueprint Pluto Proxima Survival A .
9,Ash,A Rotations A Rotations Chassis Blueprint Pluto Proxima Exterminate .
10,Ash,A Rotations A Rotations Systems Blueprint Venus Proxima Defense A .
11,Ash,A Rotations A Rotations Systems Blueprint Venus Proxima Volatile .
12,Ash,A Rotations A Rotations Systems Blueprint Venus Proxima Exterminate .
13,Ash,A Rotations A Rotations Systems Blueprint Venus Proxima Survival A .
14,Ash,A Rotations A Rotations All drop rates data is obtained from DEs official drop tables.
15,Ash,Alternatively upon completion of The Duviri Paradox Ashs main and component blueprints can be earned from The Circuit.
16,Ash,By selecting him on the rotating week he is available players can earn all his blueprints after reaching Tier rewards.
17,Ash,However... it was Dom who had been captured by the very target he was tasked to kill.
18,Ash,A sin unforgivable to the Scoria.
19,Ash,So it fell to Pilio the lesser to uphold the Scoria by taking Doms life.
20,Ash,By this the Seven would have assurance that Doms flaw was not a... familial trait.
21,Ash,You see as you might expect of an Orokin school of murder the Scoria were ruthless when it came to... academic excellence.
22,Ash,With Dom dead at Pilios feet two essential killings would have taken place that of a failure and that of any shred of pity within Pilio.
23,Ash,Ash would oversee Pilios mission.
24,Ash,Pilios soul was to die that day as the life drained from his brothers eyes or if he could not do so beneath the blades of his lifelong idol Ash.
25,Ash,Coils of red Martian dust trailed tongues from the dark metal of Ashs Edo epaulets.
26,Ash,The boy idolized the Warframe and was eager to prove himself even as some part of him felt cold and afraid at what he must do.
27,Ash,Doubt is betrayal taught the Scoria.
28,Ash,Pilio recited this but could not quench the fear he felt.
29,Ash,Fear of what he must do... and fear of what his hero and idol would do to him should his faith fail.
30,Ash,Ash gave the signal.
31,Ash,Pilio shot forward in a bold unconventional Dying Vine pattern reading the Scoriafavored Dust Fang technique.
32,Ash,The tower guards squinted into the amber light of the Martian sunrise as a flashcloud of smoke flooded the lane before them.
33,Ash,Shaking sleep from their heads and still thinking of breakfast the guards readied themselves.
34,Ash,From the smoke flew stars.
35,Ash,The boy berated himself this weakness this disgust.
36,Ash,Touching the symbol of his order the smokegem between his eyes he muttered a prayer for strength.
37,Ash,Stepping over the carpet of bodies Ash crept into the courtyard knowing full well the fiftystrong house guard would show itself in force.
38,Ash,With a sudden clatter reinforcements lined the courtyard walls balconies...
39,Ash,The Scoria had a saying You are immortal.
40,Ash,One mistake makes that otherwise.
41,Ash,Ash had never made a mistake.
42,Ash,Here were fifty.
43,Ash,With one swift movement the Warframe swatted the boy into cover unslung his Causta bow and sprang into a flawless grey chrysanthemum combat solution.
44,Ash,Shame reddened Pilios face as the courtyard lit noonbright with the glare of a halfhundred muzzle flashes his blade dry in his hand.
45,Ash,Bodies rained into the courtyard.
46,Ash,Wincing the boy looked away.
47,Ash,Within minutes fifty corpses lay at their feet.
48,Ash,When Pilio felt Ashs shadow fall across him he forced himself to look trembling.
49,Ash,Ashs inscrutable gaze pinned him.
50,Ash,Chest tight breath terrified and quick Pilio forced himself to stand and face his assessor.
51,Ash,He could not look at the bodies.
52,Ash,Truthfully he expected to die where he stood.
53,Ash,If the Warframe approved or disapproved he gave no sign.
54,Ash,Rather Ash opened an arm showing the way toward Pilios final trial.
55,Ash,And with him Dom in civilian clothes... sharing a glass of aged claret.
56,Ash,Pain cracked through Pilios brain the smokegem between his eyes flashing hot Sudden images of sunlight.
57,Ash,Vineyards.
58,Ash,A womans face.
59,Ash,The gem burned as it pushed these images away.
60,Ash,A young man with grand mustaches smiling and saying Of all the sons I could have had Im glad it was you two.
61,Ash,Pain Dom leapt to his feet urging his brother to hear what the target had to say but Pilio saw only the scabbedover divot between Doms eyes where a black jewel had once rested.
62,Ash,Dom had turned his back on the order.
63,Ash,Why Why had he done this The mustachioed man leapt to Doms defense snatching his sidearm from beneath his ironwood desk a foolish mistake.
64,Ash,Ash split into impossible multiples.
65,Ash,The man opened fire on the three before being seized from behind by the fourth.
66,Ash,Ashs illusory clones vanished.
67,Ash,The weapon clattered to the polished wooden floor even as his feet left it dangling three feet above helplesss those sad kind eyes locked on Pilios in a regretful farewell.
68,Ash,Ask the Warframe Dom said He knows exactly why.
69,Ash,Fear filled Pilios heart.
70,Ash,Pilio turned to his idol that saint of murder.
71,Ash,The same question but this time for Ash why That moment of breathtaking impudence stretched for an eternity.
72,Ash,Ash released his grip.
73,Ash,His prisoner flopped to the floor gasping.
74,Ash,With one great hand Ash reached toward Pilios face... and sank a vicious talon beneath that midnight jewel.
75,Ash,Pilio screamed.
76,Ash,Blood flowed.
77,Ash,The gem flew free with a nauseating pop cracking against the wall to die in a weak plume of rancid smoke.
78,Ash,Blinding white insight descended upon Pilio DeNas.
79,Ash,Everything the black gem had walled off within his mind was now laid bare.
80,Ash,The Scoria had stolen the sons of Lio DeNas.
81,Ash,Lio DeNas kindeyed Lio DeNas was stealing them back.
82,Ash,Of all the sons I could have had Im glad it was you two.
83,Ash,Father and son beheld each other truly for the first time in almost twenty years.
84,Ash,Pilio had longaspired to wearing the Edo armor the highest honor to signify his faith but now he saw only the bare ribs of Ashs Cremata syandana signifier of death and knew with certainty that was the sole credo of the faith he had followed.
85,Ash,Had.
86,Ash,The boy who until that moment had thought himself a lifelong killer was now torn between the nocturnal life he thought he knew and the sunlit life he had been stolen from.
87,Ash,Torn between Doctrine and family.
88,Ash,And blade in hand torn between saving himself by killing his brother... or dying alongside him at the hand of his idol.
89,Ash,Ash waited patient as the death he signified in a room in a moment that felt suspended in eternity.
90,Ash,Waiting for Pilios decision.
91,Ash,The blade fell from Pilios hand.
92,Ash,Dom reached out and gently took that hand.
93,Ash,Ash did not move.
94,Ash,Lio DeNas swept his boys up and out of that room and as a family they fled the Tower the city and Mars forever.
95,Ash,Ash did not move.
96,Ash,What are we to make of this Why did Ash focal figure of the Scoria go against Doctrine and permit two boys who were both failures and traitors to fly free What was it this killer saw in two nearorphans that shall we say softened his heart We do not know.
97,Ash,Neither did Pilio whose memoirs bring us this story.
98,Ash,But.
99,Ash,We do know this in the final days of Orokin rule... as towers fell and death came for the whiteandgold gods... the Scoria were not spared.
100,Ash,No.
101,Ash,Rather their senior ranks the mentors and chief assassins were exterminated to a figure in a pogrom of ruthless and breathtaking efficiency.
102,Ash,A neartotal destruction led... in the main... by Ash.
103,Ash,Curious no During the Orokin Era there was a school of assassination called the Scoria.
104,Ash,Each of its members bore a black jewel imprinted between their eyes and treated Ash as their patron saint.
105,Ash,At one point during the Era the school had two noteworthy students brothers Dom and Pilio DeNas.
106,Ash,Dom possessed great skill while Pilio was not as gifted lacking his brothers grace and clarity but one day Dom was captured by his target.
107,Ash,As capture by the enemy was considered an unforgivable sin to the Scoria Pilio was given the task to assassinate his brother a mission that would be overseen by Ash himself.
108,Ash,However Pilio would be torn from killing his brother were he to succeed or being killed by his idol were he to fail.
109,Ash,The pair was dispatched on a tower located in Martialis Mars but Pilio failed to overcome the fear that his task wrought leaving Ash to slay the fifty guardsmen with his Causta Bow and Dual Kamas.
